Kode Status,Status,Tanggal (dd/mm/YYYY),Jumlah (Amount)
A,Pencairan Dealer,,
B,Pembayaran Refund & Insentif Dealer,,
C,Angsuran Bank (Non Mirroring),,
D,Angsuran Bank (Mirroring),,
E,Pelunasan Closed Reguler & ET,,
F,Pelunasan Buy Back 90 Up,,
G,Pelunasan AYDA,,
H,Pelunasan WO,,
I,Menara Sentraya,,
K,Bank EXIM,,
L,Bayar PRK Mega dan BCA,,
M,"Buy Back 90 Up, Memo Percepatan Cabang",,
N,Bayar CSUL,,
O,Isi Kas Besar dan Kas Kecil,,
L3,Victoria Syariah,,
P,Isi Biaya Bank,,
K3,UM Perjalanan Dinas,,
W,UM Perbaikan Kendaraan,,
Z,UM Penggantian Klaim Asuransi Ke Nasabah,,
G2,Biaya Pajak,,
H2,"Biaya Gaji, Cadangan Gaji",,
J2,"Biaya THR, Bonus",,
K2,Biaya Jamsostek dan BPJS,,
B3,"Biaya Asuransi Hagati, Sinar Mas",,
C3,Biaya BMHD Notaris Fiducia,,
F3,Biaya Pengembalian Titipan Lain-lain,,
G3,Biaya Pinjaman PRK,,
H3,Penempatan Deposito,,
I3,Pengembalian Rekening B2B,,
C4,Biaya Pesangon,,
