Kode Status,Status,Tanggal (dd/mm/YYYY),Jumlah (Amount)
A,Pencairan Dealer,31/01/2022,
B,Pembayaran Refund & Insentif Dealer,31/01/2022,
(Rumus) C,Payment Bank,31/01/2022,
D,Angsuran Bank (Mirroring),31/01/2022,
E,Pelunasan Closed Reguler & ET,31/01/2022,
F,Pelunasan Buy Back 90 Up,31/01/2022,
G,Pelunasan AYDA,31/01/2022,
H,Pelunasan WO,31/01/2022,
I,Menara Sentraya,31/01/2022,
K,Bank EXIM,31/01/2022,
L,Bayar PRK Mega dan BCA,31/01/2022,
M,"Buy Back 90 Up, Memo Percepatan Cabang",31/01/2022,
N,Bayar CSUL,31/01/2022,
O,Isi Kas Besar dan Kas Kecil,31/01/2022,
L3,Victoria Syariah,31/01/2022,
P,Isi Biaya Bank,31/01/2022,
K3,UM Perjalanan Dinas,31/01/2022,
W,UM Perbaikan Kendaraan,31/01/2022,
Z,UM Penggantian Klaim Asuransi Ke Nasabah,31/01/2022,
G2,Biaya Pajak,31/01/2022,
H2,"Biaya Gaji, Cadangan Gaji",31/01/2022,
J2,"Biaya THR, Bonus",31/01/2022,
K2,Biaya Jamsostek dan BPJS,31/01/2022,
B3,"Biaya Asuransi Hagati, Sinar Mas",31/01/2022,
C3,Biaya BMHD Notaris Fiducia,31/01/2022,
F3,Biaya Pengembalian Titipan Lain-lain,31/01/2022,
G3,Biaya Pinjaman PRK,31/01/2022,
H3,Penempatan Deposito,31/01/2022,
I3,Pengembalian Rekening B2B,31/01/2022,
